Block Height,TxPool Size,# of all Txs,Diff,Balance,DeltaBalance,Tax,Subsidy,f_itx_min,f_ctx_min,P_itx_min,P_ctx_min
1,1573,1000,24011453739000,0,0,0,0,68537766066000,92549219805000,0,0
2,1464,1000,12323042844000,0,0,0,0,67858400610000,80181443454000,0,0
3,1128,1000,9659221509000,0,0,0,0,64073458365000,73732679874000,0,0
4,1010,1000,-6755959287000,0,0,0,0,72446600520000,65690641233000,0,0
5,1018,1000,1363117539000,0,0,0,0,70422043251000,71785160790000,0,0
6,1296,1000,12404798658000,0,0,0,0,71595201342000,84000000000000,0,0
7,1003,1000,-2162906508000,0,0,0,0,66534144873000,64371238365000,0,0
8,2025,1000,42462289884000,0,0,0,0,70225331631000,112687621515000,0,0
9,1049,1000,-30952051158000,0,0,0,0,103367409432000,72415358274000,0,0
10,1567,1000,26859329049000,0,0,0,0,72725427621000,99584756670000,0,0
11,2222,1000,24361046955000,0,0,0,0,72725427621000,97086474576000,0,0
12,1245,1000,-17748431085000,0,0,0,0,97347115299000,79598684214000,0,0
13,1884,1000,30210354846000,0,0,0,0,70775245758000,100985600604000,0,0
14,2555,1000,28255745049000,0,0,0,0,68630259306000,96886004355000,0,0
15,1589,1000,-4448004057000,0,0,0,0,83090279895000,78642275838000,0,0
16,2271,1000,23433286779000,0,0,0,0,70221700962000,93654987741000,0,0
17,1296,1000,818770806000,0,0,0,0,73182601569000,74001372375000,0,0
18,2022,1000,30409902600000,0,0,0,0,65631905493000,96041808093000,0,0
19,1053,1000,-5971275807000,0,0,0,0,75012589974000,69041314167000,0,0
20,1773,1000,26018544132000,0,0,0,0,70219200576000,96237744708000,0,0
21,2391,1000,29321033049000,0,0,0,0,62579352129000,91900385178000,0,0
22,1418,1000,4437105456000,0,0,0,0,68659369632000,73096475088000,0,0
23,1861,1000,20088126303000,0,0,0,0,61234561731000,81322688034000,0,0
24,2578,1000,22649683518000,0,0,0,0,63840000000000,86489683518000,0,0
25,1610,1000,-20324175417000,0,0,0,0,90253402701000,69929227284000,0,0
26,2282,1000,27811629804000,0,0,0,0,69366581046000,97178210850000,0,0
27,1312,1000,-27794057739000,0,0,0,0,91705112856000,63911055117000,0,0
28,1981,1000,25575612006000,0,0,0,0,77870404647000,103446016653000,0,0
29,1012,1000,-7341061749000,0,0,0,0,70341061749000,63000000000000,0,0
30,1712,1000,25198440162000,0,0,0,0,70273545825000,95471985987000,0,0
31,2207,1000,25240326594000,0,0,0,0,69108398898000,94348725492000,0,0
32,1236,1000,-2337842955000,0,0,0,0,77910000000000,75572157045000,0,0
33,1971,1000,24657372390000,0,0,0,0,70618935303000,95276307693000,0,0
34,2701,1000,25977091586240,0,0,0,0,69463104648000,95440196234240,0,0
35,1733,1000,2257865505000,0,0,0,0,76970693415000,79228558920000,0,0
36,2459,1000,24301310481000,0,0,0,0,69725928300000,94027238781000,0,0
37,1484,1000,-3869845686000,0,0,0,0,79376615703000,75506770017000,0,0
38,2211,1000,22808466660000,0,0,0,0,71422911966000,94231378626000,0,0
39,1239,1000,-23782782198000,0,0,0,0,97703078025000,73920295827000,0,0
40,1814,1000,22804668579000,0,0,0,0,73909749963000,96714418542000,0,0
41,2499,1000,35663632641000,0,0,0,0,101037281100000,136700913741000,0,0
42,1542,1000,-41793712296000,0,0,0,0,128773924314000,86980212018000,0,0
43,2032,1000,33153101604000,0,0,0,0,73391311644000,106544413248000,0,0
44,1056,1000,-27650804895000,0,0,0,0,98118960198000,70468155303000,0,0
45,1738,1000,32326036953000,0,0,0,0,94691691885000,127017728838000,0,0
46,2376,1000,42365150856000,0,0,0,0,75785804136000,118150954992000,0,0
47,1382,1000,6405770070000,0,0,0,0,87328386327000,93734156397000,0,0
48,2094,1000,28777753935000,0,0,0,0,76321084413000,105098838348000,0,0
49,1139,1000,-2007739083000,0,0,0,0,81111697296000,79103958213000,0,0
50,1803,1000,28443104424000,0,0,0,0,73600982091000,102044086515000,0,0
51,2508,1000,25226815740000,0,0,0,0,77754931716000,102981747456000,0,0
52,1534,1000,7350000000000,0,0,0,0,76650000000000,84000000000000,0,0
53,2146,1000,26655598599000,0,0,0,0,69061372527000,95716971126000,0,0
54,1171,1000,-2904172278000,0,0,0,0,79554172278000,76650000000000,0,0
55,1795,1000,29441180622000,0,0,0,0,75558819378000,105000000000000,0,0
56,2521,1000,30914615445000,0,0,0,0,72820896855000,103735512300000,0,0
57,1547,1000,3599231622000,0,0,0,0,80400768378000,84000000000000,0,0
58,2013,1000,20479233243000,0,0,0,0,67319999985000,87799233228000,0,0
59,1041,1000,-27243733545000,0,0,0,0,97383733545000,70140000000000,0,0
60,1746,1000,26877588486000,0,0,0,0,71714615637000,98592204123000,0,0
61,2184,1000,20999370000000,0,0,0,0,83528460897000,104527830897000,0,0
62,1210,1000,-20913053049000,0,0,0,0,100638503826000,79725450777000,0,0
63,1908,1000,31805474295000,0,0,0,0,95911602549000,127717076844000,0,0
64,1674,1000,5903150442000,0,0,0,0,109752225408000,115655375850000,0,0
65,2290,1000,27774244659000,0,0,0,0,109206381480000,136980626139000,0,0
66,1342,1000,-7996556820000,0,0,0,0,114386908755000,106390351935000,0,0
67,2031,1000,36821308335000,0,0,0,0,103363934226000,140185242561000,0,0
68,1061,1000,-44580416034000,0,0,0,0,118238292669000,73657876635000,0,0
69,1769,1000,29303226015000,0,0,0,0,114795761703000,144098987718000,0,0
70,2463,1000,46805872827000,0,0,0,0,94336817484000,141142690311000,0,0
71,1490,1000,20469120609000,0,0,0,0,97392159060000,117861279669000,0,0
72,2136,1000,30670624278000,0,0,0,0,88403168784000,119073793062000,0,0
73,1167,1000,-23026862628000,0,0,0,0,118948189563000,95921326935000,0,0
74,1818,1000,39662455728000,0,0,0,0,86754959508000,126417415236000,0,0
75,2314,1000,31765838139000,0,0,0,0,92328199047000,124094037186000,0,0
76,1341,1000,10099863543000,0,0,0,0,91278829047000,101378692590000,0,0
77,1935,1000,40877096169000,0,0,0,0,81162114117000,122039210286000,0,0
78,2663,1000,41270048421000,0,0,0,0,127190778981000,168460827402000,0,0
79,1698,1000,-21604866192000,0,0,0,0,126708313179000,105103446987000,0,0
80,1988,1000,25260435669000,0,0,0,0,110198106732000,135458542401000,0,0
81,1015,1000,-81929285739000,0,0,0,0,149750787711000,67821501972000,0,0
82,1716,1000,36716342943000,0,0,0,0,105385745913000,142102088856000,0,0
83,2411,1000,34043990799000,0,0,0,0,104677012209000,138721003008000,0,0
84,1460,1000,6722363844000,0,0,0,0,111185265828000,117907629672000,0,0
85,2161,1000,41289817338000,0,0,0,0,115731869295000,157021686633000,0,0
86,1204,1000,-18825798348000,0,0,0,0,129741397653000,110915599305000,0,0
87,1834,1000,31626099540000,0,0,0,0,113130804717000,144756904257000,0,0
88,2556,1000,40475493765000,0,0,0,0,103726940394000,144202434159000,0,0
89,1588,1000,-7793427873000,0,0,0,0,128785750359000,120992322486000,0,0
90,1850,1000,20385936690000,0,0,0,0,108847655301000,129233591991000,0,0
91,2534,1000,42623121177000,0,0,0,0,102290937252000,144914058429000,0,0
92,1567,1000,-12279284388000,0,0,0,0,127861352892000,115582068504000,0,0
93,2201,1000,33906311208000,0,0,0,0,100013816490000,133920127698000,0,0
94,1235,1000,3693004728000,0,0,0,0,103320558054000,107013562782000,0,0
95,1890,1000,35774918760000,0,0,0,0,89849312091000,125624230851000,0,0
96,2278,1000,29981138691000,0,0,0,0,98816516295000,128797654986000,0,0
97,1297,1000,-6297836286000,0,0,0,0,110900791407000,104602955121000,0,0
98,2020,1000,32005284129000,0,0,0,0,103965831522000,135971115651000,0,0
99,1050,1000,-21598686711000,0,0,0,0,116776411479000,95177724768000,0,0
100,1743,1000,34059538422000,0,0,0,0,101865409149000,135924947571000,0,0
101,2470,1000,40016348484000,0,0,0,0,110831362236000,150847710720000,0,0
102,1498,1000,-30478990647000,0,0,0,0,152209807533000,121730816886000,0,0
103,2238,1000,30449781369000,0,0,0,0,110250218631000,140700000000000,0,0
104,1281,1000,-13222902924000,0,0,0,0,126994549752000,113771646828000,0,0
105,1477,1000,18666782820000,0,0,0,0,94721255706000,113388038526000,0,0
106,2174,1000,38585490825000,0,0,0,0,102150555255000,140736046080000,0,0
107,1206,1000,-14653816023000,0,0,0,0,120128680098000,105474864075000,0,0
108,1933,1000,34986657657000,0,0,0,0,110313725151000,145300382808000,0,0
109,2680,1000,41187691503000,0,0,0,0,106754819451000,147942510954000,0,0
110,1714,1000,20169151422000,0,0,0,0,105000000000000,125169151422000,0,0
111,2435,1000,32812922394000,0,0,0,0,101320099104000,134133021498000,0,0
112,1463,1000,5132825607000,0,0,0,0,108438438150000,113571263757000,0,0
113,1834,1000,28217382102000,0,0,0,0,85540453383000,113757835485000,0,0
114,2516,1000,37765786548000,0,0,0,0,94196772768000,131962559316000,0,0
115,1542,1000,-13209398244000,0,0,0,0,118209398244000,105000000000000,0,0
116,2228,1000,36323192409000,0,0,0,0,103855557561000,140178749970000,0,0
117,1257,1000,-22093708329000,0,0,0,0,123413807433000,101320099104000,0,0
118,1970,1000,31628491671000,0,0,0,0,113898346821000,145526838492000,0,0
119,2193,1000,29674172010000,0,0,0,0,104278037619000,133952209629000,0,0
120,1224,1000,-4457610087000,0,0,0,0,104767365381000,100309755294000,0,0
121,1924,1000,44172670899000,0,0,0,0,102667365381000,146840036280000,0,0
122,2635,1000,41886872223000,0,0,0,0,109189955994000,151076828217000,0,0
123,1662,1000,-7122236016000,0,0,0,0,134419604760000,127297368744000,0,0
124,2385,1000,30957602991000,0,0,0,0,115515808191000,146473411182000,0,0
125,1415,1000,-6383553813000,0,0,0,0,128100000000000,121716446187000,0,0
126,2132,1000,34685842023000,0,0,0,0,116108126631000,150793968654000,0,0
127,1152,1000,-27778753107000,0,0,0,0,124625240061000,96846486954000,0,0
128,1881,1000,39689934123000,0,0,0,0,107110770837000,146800704960000,0,0
129,2343,1000,35167755546000,0,0,0,0,123382439502000,158550195048000,0,0
130,1370,1000,-63386991213000,0,0,0,0,187566783138000,124179791925000,0,0
131,2082,1000,47732477436000,0,0,0,0,134123334282000,181855811718000,0,0
132,1110,1000,-57152622618000,0,0,0,0,152531178324000,95378555706000,0,0
133,1821,1000,35047610745000,0,0,0,0,137788561680000,172836172425000,0,0
134,2434,1000,37444047942000,0,0,0,0,131931768486000,169375816428000,0,0
135,1461,1000,10065617562000,0,0,0,0,135516054723000,145581672285000,0,0
136,2025,1000,29581284264000,0,0,0,0,117433415736000,147014700000000,0,0
137,1054,1000,-28134701217000,0,0,0,0,121145184993000,93010483776000,0,0
138,1774,1000,30463335903000,0,0,0,0,118800102960000,149263438863000,0,0
139,2500,1000,35956687830000,0,0,0,0,116515728126000,152472415956000,0,0
140,1501,1000,128992643850000,0,0,0,0,nil,128992643850000,0,0
141,2174,1000,32753333928000,0,0,0,0,111568568580000,144321902508000,0,0
142,1209,1000,-3545423931000,0,0,0,0,124478822790000,120933398859000,0,0
143,1938,1000,29967929565000,0,0,0,0,106957980129000,136925909694000,0,0
144,2677,1000,38316955677000,0,0,0,0,113502990489000,151819946166000,0,0
145,1702,1000,-37671460743000,0,0,0,0,160780522644000,123109061901000,0,0
146,2429,1000,36967265748000,0,0,0,0,113953015512000,150920281260000,0,0
147,1449,1000,648535503000,0,0,0,0,117671985312000,118320520815000,0,0
148,2149,1000,30568622826000,0,0,0,0,104861987265000,135430610091000,0,0
149,1177,1000,3352320993000,0,0,0,0,105000000000000,108352320993000,0,0
150,1910,1000,33216036273000,0,0,0,0,93815613192000,127031649465000,0,0
151,2014,1000,28373602446000,0,0,0,0,92045306367000,120418908813000,0,0
152,1038,1000,-13178329416000,0,0,0,0,104062941507000,90884612091000,0,0
153,1746,1000,25277624820000,0,0,0,0,100871459829000,126149084649000,0,0
154,2487,1000,31923878805000,0,0,0,0,92056436367000,123980315172000,0,0
155,1515,1000,3479267778000,0,0,0,0,101333121162000,104812388940000,0,0
156,2256,1000,25352823237000,0,0,0,0,88720646763000,114073470000000,0,0
157,1281,1000,-44031267315000,0,0,0,0,141443602692000,97412335377000,0,0
158,1129,1000,-5662833204000,0,0,0,0,98983206546000,93320373342000,0,0
159,1851,1000,35330329020000,0,0,0,0,100030153062000,135360482082000,0,0
160,2577,1000,38972565807000,0,0,0,0,97704516504000,136677082311000,0,0
161,1605,1000,11259669330000,0,0,0,0,105780246957000,117039916287000,0,0
162,2318,1000,38927737044000,0,0,0,0,82310676651000,121238413695000,0,0
163,1349,1000,-8345187396000,0,0,0,0,105000000000000,96654812604000,0,0
164,1459,1000,6482193207000,0,0,0,0,86591902803000,93074096010000,0,0
165,2169,1000,25563176961000,0,0,0,0,85994155926000,111557332887000,0,0
166,1199,1000,-13297166295000,0,0,0,0,101860547670000,88563381375000,0,0
167,1919,1000,38695220474736,0,0,0,0,96119247579264,134814468054000,0,0
168,2657,1000,29799454629000,0,0,0,0,102570948165000,132370402794000,0,0
169,1688,1000,-17121149010000,0,0,0,0,129967875933000,112846726923000,0,0
170,2407,1000,35043094800000,0,0,0,0,89389948137000,124433042937000,0,0
171,1437,1000,18982255152000,0,0,0,0,84000000000000,102982255152000,0,0
172,2163,1000,37302542340000,0,0,0,0,81351764508000,118654306848000,0,0
173,1192,1000,-43407875490000,0,0,0,0,131346010236000,87938134746000,0,0
174,1687,1000,33508038711000,0,0,0,0,82187719614000,115695758325000,0,0
175,2337,1000,36776332971000,0,0,0,0,78804718629000,115581051600000,0,0
176,1365,1000,-7766171398656,0,0,0,0,100170000000000,92403828601344,0,0
177,2076,1000,35153491191000,0,0,0,0,86093297052000,121246788243000,0,0
178,1101,1000,-25191409992000,0,0,0,0,109191409992000,84000000000000,0,0
179,1804,1000,28163361009000,0,0,0,0,91337682975000,119501043984000,0,0
180,2497,1000,33171431454000,0,0,0,0,85051866795000,118223298249000,0,0
