Block Height,TxPool Size,# of all Txs,Diff,Balance,DeltaBalance,Tax,Subsidy,f_itx_min,f_ctx_min,P_itx_min,P_ctx_min
85,154,155,-55666800000,0,0,0,0,77137138575000,77081471775000,0,0
86,164,164,-5328651594000,0,0,0,0,80993995488000,75665343894000,0,0
87,132,132,-655740519000,0,0,0,0,76321084413000,75665343894000,0,0
88,153,153,185556000000,0,0,0,0,77282749824000,77468305824000,0,0
89,114,114,-210000000000,0,0,0,0,77492749824000,77282749824000,0,0
90,94,94,0,0,0,0,0,83046265239000,83046265239000,0,0
91,53,53,1847405049000,0,0,0,0,85023299802000,86870704851000,0,0
92,157,157,0,0,0,0,0,83049194466000,83049194466000,0,0
93,108,108,-4895120517000,0,0,0,0,84565036836000,79669916319000,0,0
94,58,58,-62792142000,0,0,0,0,79732708461000,79669916319000,0,0
95,100,101,9934160145000,0,0,0,0,79669916319000,89604076464000,0,0
96,60,61,-55666800000,0,0,0,0,91137064851000,91081398051000,0,0
97,72,72,-169773618000,0,0,0,0,89359426590000,89189652972000,0,0
98,137,138,-154333200000,0,0,0,0,88387714443000,88233381243000,0,0
99,47,47,-956271729000,0,0,0,0,89189652972000,88233381243000,0,0
100,152,153,-118440000000,0,0,0,0,81111697296000,80993257296000,0,0
101,119,119,315840000000,0,0,0,0,85321569879000,85637409879000,0,0
102,81,81,-62614734000,0,0,0,0,79942531053000,79879916319000,0,0
103,44,44,55666800000,0,0,0,0,79859623074000,79915289874000,0,0
104,40,40,-17934432873000,0,0,0,0,101369782521000,83435349648000,0,0
105,28,28,-21045654000,0,0,0,0,82761045654000,82740000000000,0,0
106,17,17,34939800000,0,0,0,0,82033650762000,82068590562000,0,0
107,20,20,-18664403667000,0,0,0,0,93897894636000,75233490969000,0,0
108,52,55,-46925655000,0,0,0,0,77338416624000,77291490969000,0,0
109,47,47,55666800000,0,0,0,0,75233490969000,75289157769000,0,0
110,35,35,-1269575055000,0,0,0,0,81662835933000,80393260878000,0,0
111,15,15,-13336110066752,0,0,0,0,111280189146000,97944079079248,0,0
112,50,50,-2917947921000,0,0,0,0,81779260878000,78861312957000,0,0
113,187,187,0,0,0,0,0,78916979757000,78916979757000,0,0
114,167,167,-55666800000,0,0,0,0,73600982091000,73545315291000,0,0
115,167,167,-32268222000,0,0,0,0,81203501610000,81171233388000,0,0
116,157,158,-55666800000,0,0,0,0,85148608671000,85092941871000,0,0
117,140,140,-55666800000,0,0,0,0,82831567875000,82775901075000,0,0
118,162,162,0,0,0,0,0,80551161810000,80551161810000,0,0
119,157,157,-55666800000,0,0,0,0,80680199565000,80624532765000,0,0
120,157,157,-118440000000,0,0,0,0,78479165394000,78360725394000,0,0
121,124,124,34134114000,0,0,0,0,77754931716000,77789065830000,0,0
122,163,163,0,0,0,0,0,78135712410000,78135712410000,0,0
123,162,163,-1050000000000,0,0,0,0,83071248099000,82021248099000,0,0
124,125,126,-55666800000,0,0,0,0,83941042563000,83885375763000,0,0
125,132,132,735084000,0,0,0,0,83623107456000,83623842540000,0,0
126,126,126,-321225744000,0,0,0,0,84000000000000,83678774256000,0,0
127,164,165,-630000000,0,0,0,0,82471053147000,82470423147000,0,0
128,161,161,0,0,0,0,0,83121084858000,83121084858000,0,0
129,148,149,0,0,0,0,0,79996863450000,79996863450000,0,0
130,155,155,-5273250024000,0,0,0,0,79059265236000,73786015212000,0,0
131,178,179,-55666800000,0,0,0,0,73897348812000,73841682012000,0,0
132,164,165,-343350000000,0,0,0,0,76592652129000,76249302129000,0,0
133,137,137,-7940616810000,0,0,0,0,80086405623000,72145788813000,0,0
134,156,156,8941191000,0,0,0,0,75307119237000,75316060428000,0,0
135,161,165,-55650000000,0,0,0,0,80915546985000,80859896985000,0,0
136,148,148,-616363986000,0,0,0,0,79903515951000,79287151965000,0,0
137,132,132,0,0,0,0,0,79232131965000,79232131965000,0,0
138,91,91,0,0,0,0,0,78300353355000,78300353355000,0,0
139,157,158,-1027142214000,0,0,0,0,78041990481000,77014848267000,0,0
140,165,165,0,0,0,0,0,69061372527000,69061372527000,0,0
141,159,159,-2778948690000,0,0,0,0,82017280968000,79238332278000,0,0
142,71,71,0,0,0,0,0,79238962278000,79238962278000,0,0
143,154,154,-135928485000,0,0,0,0,89273425584000,89137497099000,0,0
144,139,139,-4856010495000,0,0,0,0,87554221167000,82698210672000,0,0
145,73,74,-1558476990000,0,0,0,0,84676308759000,83117831769000,0,0
146,156,156,88874016000,0,0,0,0,83014050672000,83102924688000,0,0
147,154,154,-2961463155000,0,0,0,0,86863451472000,83901988317000,0,0
148,155,155,-33390000000,0,0,0,0,83935378317000,83901988317000,0,0
149,56,57,85050000000,0,0,0,0,89874199632000,89959249632000,0,0
150,159,160,-50085000000,0,0,0,0,80924431287000,80874346287000,0,0
151,150,151,-1393528563000,0,0,0,0,82301264850000,80907736287000,0,0
152,121,121,-197400000000,0,0,0,0,81975665940000,81778265940000,0,0
153,130,130,0,0,0,0,0,79198902300000,79198902300000,0,0
154,145,145,-76727280000,0,0,0,0,75558819378000,75482092098000,0,0
155,154,154,0,0,0,0,0,76832203077000,76832203077000,0,0
156,160,160,1050000000000,0,0,0,0,73555056855000,74605056855000,0,0
157,147,148,20160000000,0,0,0,0,72820896855000,72841056855000,0,0
158,150,151,-1334770479000,0,0,0,0,77604704457000,76269933978000,0,0
159,154,154,0,0,0,0,0,78767392788000,78767392788000,0,0
160,158,158,-1050000000000,0,0,0,0,76011656721000,74961656721000,0,0
161,156,156,-33390000000,0,0,0,0,80657134593000,80623744593000,0,0
162,134,134,-252648291000,0,0,0,0,76120207359000,75867559068000,0,0
163,134,134,-5821464495000,0,0,0,0,84898497768000,79077033273000,0,0
164,149,149,33390000000,0,0,0,0,79077033273000,79110423273000,0,0
165,152,152,-315840000000,0,0,0,0,78834185997000,78518345997000,0,0
166,159,159,-33390000000,0,0,0,0,78334158378000,78300768378000,0,0
