Block Height,TxPool Size,# of all Txs,Diff,Balance,DeltaBalance,Tax,Subsidy,f_itx_min,f_ctx_min,P_itx_min,P_ctx_min
1,76790,1000,172052437872000,0,0,0,0,168000000000000,340052437872000,0,0
2,75871,1000,148178555091000,0,0,0,0,148081718337000,296260273428000,0,0
3,74934,1000,137849734638000,0,0,0,0,137631174618000,275480909256000,0,0
4,74009,1000,130868181885000,0,0,0,0,129065156598000,259933338483000,0,0
5,73038,1000,124274722467000,0,0,0,0,124233385647000,248508108114000,0,0
6,72062,1000,121033692381000,0,0,0,0,120862567119000,241896259500000,0,0
7,71067,1000,117715416168000,0,0,0,0,117721746996000,235437163164000,0,0
8,70132,1000,115444589085000,0,0,0,0,115002010221000,230446599306000,0,0
9,69149,1000,110927665065000,0,0,0,0,110742318603000,221669983668000,0,0
10,68171,1000,106165381042092,0,0,0,0,105807063886908,211972444929000,0,0
11,67242,1000,104522196450000,0,0,0,0,104425517700000,208947714150000,0,0
12,66259,1000,99938852244000,0,0,0,0,99907172841000,199846025085000,0,0
13,65286,1000,96289991658000,0,0,0,0,96285211512000,192575203170000,0,0
14,64321,1000,93326574810000,0,0,0,0,93327663450000,186654238260000,0,0
15,63348,1000,90335412510000,0,0,0,0,90351985584000,180687398094000,0,0
16,62365,1000,87949109997000,0,0,0,0,87942269205000,175891379202000,0,0
17,61430,1000,85060501491000,0,0,0,0,85039498509000,170100000000000,0,0
18,60463,1000,83957563137000,0,0,0,0,83903842953000,167861406090000,0,0
19,59533,1000,81661078737000,0,0,0,0,81675836844000,163336915581000,0,0
20,58551,1000,79930321884000,0,0,0,0,79942531053000,159872852937000,0,0
21,57608,1000,78769940655000,0,0,0,0,78785999649000,157555940304000,0,0
22,56669,1000,77069868267000,0,0,0,0,77015478267000,154085346534000,0,0
23,55682,1000,75521958225000,0,0,0,0,75518614017000,151040572242000,0,0
24,54727,1000,74004569121000,0,0,0,0,74013159717000,148017728838000,0,0
25,53741,1000,72749800662000,0,0,0,0,72755037621000,145504838283000,0,0
26,52752,1000,71173838904000,0,0,0,0,71169956151000,142343795055000,0,0
27,51797,1000,69460306167000,0,0,0,0,69590020983000,139050327150000,0,0
28,50859,1000,68040947730000,0,0,0,0,68277957300000,136318905030000,0,0
29,49882,1000,66492162135000,0,0,0,0,66654519708000,133146681843000,0,0
30,48904,1000,65618094507000,0,0,0,0,65631905493000,131250000000000,0,0
31,47965,1000,64524787761000,0,0,0,0,64526146944000,129050934705000,0,0
32,46981,1000,63179887738976,0,0,0,0,63781107390000,126960995128976,0,0
33,46007,1000,62920626090000,0,0,0,0,63000000000000,125920626090000,0,0
34,45027,1000,61766239395000,0,0,0,0,62579352129000,124345591524000,0,0
35,44042,1000,-34236872523000,0,0,0,0,157303642923000,123066770400000,0,0
36,43096,1000,60803216061000,0,0,0,0,61234561731000,122037777792000,0,0
37,42133,1000,-15094786896000,0,0,0,0,136175571945000,121080785049000,0,0
38,41163,1000,-23801027523000,0,0,0,0,143866658502000,120065630979000,0,0
39,40181,1000,-56283795015000,0,0,0,0,175386016512000,119102221497000,0,0
40,39181,1000,117971955234000,0,0,0,0,nil,117971955234000,0,0
41,38308,1000,-14929218402000,0,0,0,0,132132787017000,117203568615000,0,0
42,37325,1000,-88023191130000,0,0,0,0,204358429191000,116335238061000,0,0
43,36352,1000,-48973373610000,0,0,0,0,164291185170000,115317811560000,0,0
44,35373,1000,-47728941330000,0,0,0,0,161749613970000,114020672640000,0,0
