Block Height,TxPool Size,# of all Txs,Diff,Balance,DeltaBalance,Tax,Subsidy,f_itx_min,f_ctx_min,P_itx_min,P_ctx_min
1,34919,1000,126508365270000,0,0,0,0,125491634730000,252000000000000,0,0
2,38580,1000,118872622596000,0,0,0,0,118250909322000,237123531918000,0,0
3,42102,1000,117568790493000,0,0,0,0,116455338930000,234024129423000,0,0
4,44905,1000,115596074958000,0,0,0,0,113657979099000,229254054057000,0,0
5,48638,1000,110428993101000,0,0,0,0,109466490000000,219895483101000,0,0
6,52084,1000,105488538540000,0,0,0,0,105412893411000,210901431951000,0,0
7,55826,1000,105000000000000,0,0,0,0,105000000000000,210000000000000,0,0
8,58887,1000,108137915172000,0,0,0,0,108067575147000,216205490319000,0,0
9,62476,1000,119780379831000,0,0,0,0,119385215628000,239165595459000,0,0
10,65349,1000,106559177634000,0,0,0,0,106551307779000,213110485413000,0,0
11,68180,1000,105000000000000,0,0,0,0,105000000000000,210000000000000,0,0
12,71670,1000,124336426704000,0,0,0,0,123642003660000,247978430364000,0,0
13,75088,1000,123312434784000,0,0,0,0,123211481736000,246523916520000,0,0
14,77609,1000,116620852635000,0,0,0,0,116541637296000,233162489931000,0,0
15,80938,1000,116089140237000,0,0,0,0,116099531562000,232188671799000,0,0
16,83800,1000,114267581211000,0,0,0,0,114271814265000,228539395476000,0,0
17,87284,1000,120442802235000,0,0,0,0,119421776019000,239864578254000,0,0
18,89371,1000,111954319890000,0,0,0,0,111934487238000,223888807128000,0,0
19,92684,1000,121407287715000,0,0,0,0,121163980098000,242571267813000,0,0
20,96172,1000,114073571199000,0,0,0,0,113934895032000,228008466231000,0,0
21,99559,1000,117165473166000,0,0,0,0,116863917975000,234029391141000,0,0
22,102741,1000,118229371932000,0,0,0,0,118636345065000,236865716997000,0,0
23,106120,1000,126555729636000,0,0,0,0,125444270364000,252000000000000,0,0
24,108050,1000,117669166713000,0,0,0,0,117537871899000,235207038612000,0,0
25,111029,1000,140712048015000,0,0,0,0,140854704438000,281566752453000,0,0
