Block Height,TxPool Size,# of all Txs,Diff,Balance,DeltaBalance,Tax,Subsidy,f_itx_min,f_ctx_min,P_itx_min,P_ctx_min
82,14831,1000,22779368661000,0,0,0,0,107174435130000,129953803791000,0,0
83,13864,1000,13525142043000,0,0,0,0,112474857957000,126000000000000,0,0
84,12888,1000,13158958533000,0,0,0,0,107224857957000,120383816490000,0,0
85,11931,1000,8079860271000,0,0,0,0,105638255121000,113718115392000,0,0
86,10957,1000,-232174992000,0,0,0,0,103210433046000,102978258054000,0,0
87,23418,1000,160106088471000,0,0,0,0,154893911529000,315000000000000,0,0
88,22482,1000,141250827648000,0,0,0,0,135071554926000,276322382574000,0,0
89,21502,1000,118864042605000,0,0,0,0,118210306368000,237074348973000,0,0
90,20541,1000,89581766043000,0,0,0,0,94721255706000,184303021749000,0,0
91,19564,1000,41985300000000,0,0,0,0,120689463174000,162674763174000,0,0
92,18608,1000,40235058150000,0,0,0,0,115321505607000,155556563757000,0,0
93,17644,1000,17673750675000,0,0,0,0,129888048276000,147561798951000,0,0
94,16668,1000,-9909610410000,0,0,0,0,150645656490000,140736046080000,0,0
95,15699,1000,6067994457000,0,0,0,0,129660356490000,135728350947000,0,0
96,14704,1000,-5537855673000,0,0,0,0,136143374304000,130605518631000,0,0
97,13753,1000,-3701148276000,0,0,0,0,129701148276000,126000000000000,0,0
98,12774,1000,-8307883647000,0,0,0,0,128052665097000,119744781450000,0,0
99,11801,1000,-33214035414000,0,0,0,0,147000000000000,113785964586000,0,0
100,10824,1000,-29463304563000,0,0,0,0,126853656153000,97390351590000,0,0
101,24117,1000,160066140108000,0,0,0,0,152866210035000,312932350143000,0,0
102,23208,1000,143275791834000,0,0,0,0,134757835485000,278033627319000,0,0
103,22238,1000,120057135681000,0,0,0,0,119557769079000,239614904760000,0,0
104,21252,1000,99769510386000,0,0,0,0,99745265361000,199514775747000,0,0
105,20273,1000,81208226064000,0,0,0,0,85540453383000,166748679447000,0,0
106,19307,1000,29390713779000,0,0,0,0,127623633312000,157014347091000,0,0
107,18363,1000,28273879410000,0,0,0,0,120719733246000,148993612656000,0,0
108,17388,1000,23144949786000,0,0,0,0,120719733246000,143864683032000,0,0
109,16388,1000,137408047035000,0,0,0,0,nil,137408047035000,0,0
110,15449,1000,6203627430000,0,0,0,0,126103411182000,132307038612000,0,0
111,14507,1000,254556435000,0,0,0,0,126895081215000,127149637650000,0,0
112,13569,1000,-792486156000,0,0,0,0,124229129745000,123436643589000,0,0
113,12589,1000,-11061618435000,0,0,0,0,128540261220000,117478642785000,0,0
114,11618,1000,-17061305226000,0,0,0,0,126454961220000,109393655994000,0,0
115,10646,1000,-48991060944000,0,0,0,0,143554217604000,94563156660000,0,0
116,24512,1000,176798247381000,0,0,0,0,174265524216000,351063771597000,0,0
117,23580,1000,158995391163000,0,0,0,0,156004608837000,315000000000000,0,0
118,22594,1000,141420938526000,0,0,0,0,139780295025000,281201233551000,0,0
119,21654,1000,119722874712000,0,0,0,0,119308835352000,239031710064000,0,0
120,20685,1000,84558554136000,0,0,0,0,107110770837000,191669324973000,0,0
121,19704,1000,63397403202000,0,0,0,0,117448115736000,180845518938000,0,0
122,18721,1000,54783425487000,0,0,0,0,116515728126000,171299153613000,0,0
123,17751,1000,15952607160000,0,0,0,0,151129319061000,167081926221000,0,0
124,16773,1000,27776256648000,0,0,0,0,132859319061000,160635575709000,0,0
125,15773,1000,152491579275000,0,0,0,0,nil,152491579275000,0,0
126,14922,1000,17866722846000,0,0,0,0,130073009808000,147939732654000,0,0
127,13979,1000,15281817579000,0,0,0,0,129408453258000,144690270837000,0,0
128,12995,1000,7241382183000,0,0,0,0,131257502607000,138498884790000,0,0
129,12027,1000,-1014869373000,0,0,0,0,130194521814000,129179652441000,0,0
130,11062,1000,-9508317084000,0,0,0,0,132312415956000,122804098872000,0,0
131,10089,1000,-48406513869000,0,0,0,0,129408453258000,81001939389000,0,0
132,22961,1000,162324395373000,0,0,0,0,151803212820000,314127608193000,0,0
133,22023,1000,152663107884000,0,0,0,0,132440135940000,285103243824000,0,0
134,21083,1000,119805635733000,0,0,0,0,118673888844000,238479524577000,0,0
135,20101,1000,101157045339000,0,0,0,0,101242366806000,202399412145000,0,0
136,19174,1000,72062029284000,0,0,0,0,92045306367000,164107335651000,0,0
137,18201,1000,62453953506000,0,0,0,0,92426525163000,154880478669000,0,0
138,17236,1000,55311542307000,0,0,0,0,92056436367000,147367978674000,0,0
139,16259,1000,30151597182000,0,0,0,0,110820425184000,140972022366000,0,0
140,15263,1000,134462556459000,0,0,0,0,nil,134462556459000,0,0
141,14296,1000,20783181636000,0,0,0,0,108149790000000,128932971636000,0,0
142,13325,1000,27289701474000,0,0,0,0,96738418791000,124028120265000,0,0
143,12325,1000,118703949168000,0,0,0,0,nil,118703949168000,0,0
144,11393,1000,13816111911000,0,0,0,0,97037100909000,110853212820000,0,0
145,10446,1000,5908429464000,0,0,0,0,97303289076000,103211718540000,0,0
146,23283,1000,170857667883000,0,0,0,0,138804918378000,309662586261000,0,0
147,22350,1000,119555606898000,0,0,0,0,118704516504000,238260123402000,0,0
148,21364,1000,105000000000000,0,0,0,0,105000000000000,210000000000000,0,0
149,20382,1000,86357767776000,0,0,0,0,86591902803000,172949670579000,0,0
150,19447,1000,69238004724000,0,0,0,0,82310676651000,151548681375000,0,0
151,18468,1000,35166068847000,0,0,0,0,105263627301000,140429696148000,0,0
152,17493,1000,6099620604000,0,0,0,0,128058826371000,134158446975000,0,0
153,16534,1000,20299558629000,0,0,0,0,107707201371000,128006760000000,0,0
154,15552,1000,15490382292000,0,0,0,0,105261631356000,120752013648000,0,0
155,14616,1000,11498578644000,0,0,0,0,104211631356000,115710210000000,0,0
156,13667,1000,6616014951000,0,0,0,0,104226331356000,110842346307000,0,0
157,12690,1000,1934081835000,0,0,0,0,103620948165000,105555030000000,0,0
158,11708,1000,-2016456120000,0,0,0,0,102570948165000,100554492045000,0,0
159,10725,1000,-33386916822000,0,0,0,0,126000000000000,92613083178000,0,0
160,20513,1000,129454542945000,0,0,0,0,129087069972000,258541612917000,0,0
161,19581,1000,105830739378000,0,0,0,0,105491440614000,211322179992000,0,0
162,18607,1000,88512752895000,0,0,0,0,88668860532000,177181613427000,0,0
163,17608,1000,64417869642000,0,0,0,0,78804718629000,143222588271000,0,0
164,16649,1000,39115500102000,0,0,0,0,95731524357000,134847024459000,0,0
165,15671,1000,26534138547000,0,0,0,0,99025060113000,125559198660000,0,0
166,14737,1000,25559186037000,0,0,0,0,92664112212000,118223298249000,0,0
167,13792,1000,18933815964000,0,0,0,0,92435292558000,111369108522000,0,0
168,12819,1000,7172093187000,0,0,0,0,97667809302000,104839902489000,0,0
169,11859,1000,3727195395000,0,0,0,0,94161774357000,97888969752000,0,0
170,10883,1000,-2826171348000,0,0,0,0,94161774357000,91335603009000,0,0
171,22039,1000,129008863296960,0,0,0,0,122991136703040,252000000000000,0,0
172,21105,1000,105000000000000,0,0,0,0,105000000000000,210000000000000,0,0
173,20128,1000,92117530176000,0,0,0,0,89563988514000,181681518690000,0,0
174,19152,1000,61517920254000,0,0,0,0,76239576840000,137757497094000,0,0
175,18179,1000,37295223357000,0,0,0,0,93240000000000,130535223357000,0,0
176,17239,1000,43145412849000,0,0,0,0,81485704104000,124631116953000,0,0
177,16268,1000,21059183124000,0,0,0,0,91428309084000,112487492208000,0,0
178,15287,1000,7024091004000,0,0,0,0,100571139984000,107595230988000,0,0
179,14351,1000,12756444015000,0,0,0,0,90935774706000,103692218721000,0,0
180,13368,1000,4121088699000,0,0,0,0,91128772917000,95249861616000,0,0
181,12393,1000,-18566325981000,0,0,0,0,109461701349000,90895375368000,0,0
182,11416,1000,-1965469107000,0,0,0,0,90330701349000,88365232242000,0,0
183,10476,1000,-7817507460000,0,0,0,0,92374746849000,84557239389000,0,0
184,24246,1000,125731582116000,0,0,0,0,124644298107000,250375880223000,0,0
185,23263,1000,105000000000000,0,0,0,0,105000000000000,210000000000000,0,0
186,22284,1000,93762331677000,0,0,0,0,93839425659000,187601757336000,0,0
187,21316,1000,83345561691000,0,0,0,0,83351595957000,166697157648000,0,0
188,20342,1000,59326094919000,0,0,0,0,73670149812000,132996244731000,0,0
189,19385,1000,42886938066000,0,0,0,0,84424669938000,127311608004000,0,0
190,18404,1000,39425404641000,0,0,0,0,84066159471000,123491564112000,0,0
191,17426,1000,8518470765000,0,0,0,0,104286120183000,112804590948000,0,0
192,16452,1000,22690118430000,0,0,0,0,84066159471000,106756277901000,0,0
193,15473,1000,20182187595328,0,0,0,0,84024660468000,104206848063328,0,0
194,14536,1000,17321030895000,0,0,0,0,83159293476000,100480324371000,0,0
195,13560,1000,-229106766000,0,0,0,0,92427126498000,92198019732000,0,0
196,12580,1000,-16877870709000,0,0,0,0,103989235035000,87111364326000,0,0
197,11597,1000,-36314739489000,0,0,0,0,120380898960000,84066159471000,0,0
198,10622,1000,-5506489170000,0,0,0,0,87154131792000,81647642622000,0,0
199,23002,1000,124883093706000,0,0,0,0,124498781694000,249381875400000,0,0
200,22044,1000,105000000000000,0,0,0,0,105000000000000,210000000000000,0,0
201,21066,1000,91175882049000,0,0,0,0,90294912414000,181470794463000,0,0
202,20133,1000,77506478448000,0,0,0,0,77706396705000,155212875153000,0,0
203,19154,1000,62405182644000,0,0,0,0,73505101593000,135910284237000,0,0
204,18196,1000,6313513395000,0,0,0,0,120610006125000,126923519520000,0,0
205,17231,1000,14478053541000,0,0,0,0,105775171047000,120253224588000,0,0
206,16250,1000,7017704106000,0,0,0,0,104116171047000,111133875153000,0,0
207,15311,1000,-14993858082000,0,0,0,0,120610006125000,105616148043000,0,0
208,14312,1000,101656770621000,0,0,0,0,nil,101656770621000,0,0
209,13335,1000,-7964556999000,0,0,0,0,102907938231000,94943381232000,0,0
210,12357,1000,-14966631225000,0,0,0,0,102907938231000,87941307006000,0,0
