Block Height,TxPool Size,# of all Txs,Diff,Balance,DeltaBalance,Tax,Subsidy,f_itx_min,f_ctx_min,P_itx_min,P_ctx_min
1,3031,1000,58222269777000,0,0,0,0,64073458365000,122295728142000,0,0
2,3223,1000,38368375217000,0,0,0,0,72446600520000,110814975737000,0,0
3,3860,1000,28579788321000,0,0,0,0,70422043251000,99001831572000,0,0
4,3528,1000,23419097247000,0,0,0,0,69176104095000,92595201342000,0,0
5,4472,1000,38665189080000,0,0,0,0,66534144873000,105199333953000,0,0
6,3504,1000,-11310058389000,0,0,0,0,97124123628000,85814065239000,0,0
7,4473,1000,37618843185000,0,0,0,0,72725427621000,110344270806000,0,0
8,3530,1000,3543109227000,0,0,0,0,80456890773000,84000000000000,0,0
9,3360,1000,9775677660000,0,0,0,0,72725427621000,82501105281000,0,0
10,4353,1000,40256087277000,0,0,0,0,77929770345000,118185857622000,0,0
11,3354,1000,81059056365000,0,0,0,0,nil,81059056365000,0,0
12,3826,1000,19289463816000,0,0,0,0,69451556937000,88741020753000,0,0
13,4971,1000,44818860429000,0,0,0,0,68630259306000,113449119735000,0,0
14,4014,1000,6013754607000,0,0,0,0,74547397512000,80561152119000,0,0
15,3030,1000,-36184477392000,0,0,0,0,113901372354000,77716894962000,0,0
16,4193,1000,44791369500504,0,0,0,0,65631905493000,110423274993504,0,0
17,3259,1000,-1083201126000,0,0,0,0,78532867056000,77449665930000,0,0
18,4394,1000,44009188041000,0,0,0,0,69648791058000,113657979099000,0,0
19,3422,1000,2271234084000,0,0,0,0,74892679974000,77163914058000,0,0
20,4544,1000,42420647871000,0,0,0,0,62579352129000,105000000000000,0,0
21,3606,1000,8411293122144,0,0,0,0,67821501972000,76232795094144,0,0
22,4680,1000,40110366745408,0,0,0,0,61234561731000,101344928476408,0,0
23,3733,1000,-255660405000,0,0,0,0,75780966996000,75525306591000,0,0
24,4172,1000,20336236263000,0,0,0,0,69366581046000,89702817309000,0,0
25,3190,1000,-9367619625000,0,0,0,0,83779615185000,74411995560000,0,0
26,4464,1000,50617951230000,0,0,0,0,70341061749000,120959012979000,0,0
27,3510,1000,9617620341000,0,0,0,0,75506770017000,85124390358000,0,0
28,4607,1000,44002337253000,0,0,0,0,69108398898000,113110736151000,0,0
29,3628,1000,-18598656426000,0,0,0,0,98070907053000,79472250627000,0,0
30,4852,1000,42621942489000,0,0,0,0,70618935303000,113240877792000,0,0
31,3872,1000,448335594000,0,0,0,0,77850460401000,78298795995000,0,0
32,4911,1000,36208801041000,0,0,0,0,69463104648000,105671905689000,0,0
33,3951,1000,-1968095556000,0,0,0,0,79800000000000,77831904444000,0,0
34,5147,1000,44984842362448,0,0,0,0,69725928300000,114710770662448,0,0
35,4199,1000,3269007819000,0,0,0,0,75318063576000,78587071395000,0,0
36,3236,1000,-10010188440000,0,0,0,0,84000000000000,73989811560000,0,0
37,5060,1000,54391671978000,0,0,0,0,71422911966000,125814583944000,0,0
38,4101,1000,-16904943930000,0,0,0,0,110755691487000,93850747557000,0,0
39,3121,1000,-36927424842000,0,0,0,0,110696471487000,73769046645000,0,0
40,4316,1000,54073073250000,0,0,0,0,94136216076000,148209289326000,0,0
