Block Height,TxPool Size,# of all Txs,Diff,Balance,DeltaBalance,Tax,Subsidy,f_itx_min,f_ctx_min,P_itx_min,P_ctx_min
1,10137,1000,0,0,0,0,0,0,0,0,0
2,10818,1000,0,0,0,0,0,0,0,0,0
3,11448,1000,0,0,0,0,0,0,0,0,0
4,10449,1000,0,0,0,0,0,0,0,0,0
5,10859,1000,0,0,0,0,0,0,0,0,0
6,11240,1000,0,0,0,0,0,0,0,0,0
7,10243,1000,0,0,0,0,0,0,0,0,0
8,10509,1000,0,0,0,0,0,0,0,0,0
9,11142,1000,0,0,0,0,0,0,0,0,0
10,10142,1000,0,0,0,0,0,0,0,0,0
11,10538,1000,0,0,0,0,0,0,0,0,0
12,11096,1000,0,0,0,0,0,0,0,0,0
13,10097,1000,0,0,0,0,0,0,0,0,0
14,10758,1000,0,0,0,0,0,0,0,0,0
15,11379,1000,0,0,0,0,0,0,0,0,0
16,10380,1000,0,0,0,0,0,0,0,0,0
17,11019,1000,0,0,0,0,0,0,0,0,0
18,10019,1000,0,0,0,0,0,0,0,0,0
19,10335,1000,0,0,0,0,0,0,0,0,0
20,11003,1000,0,0,0,0,0,0,0,0,0
21,10004,1000,0,0,0,0,0,0,0,0,0
22,10667,1000,0,0,0,0,0,0,0,0,0
23,11346,1000,0,0,0,0,0,0,0,0,0
24,10346,1000,0,0,0,0,0,0,0,0,0
25,11040,1000,0,0,0,0,0,0,0,0,0
26,10041,1000,0,0,0,0,0,0,0,0,0
27,10183,1000,0,0,0,0,0,0,0,0,0
28,10315,1000,0,0,0,0,0,0,0,0,0
29,10730,1000,0,0,0,0,0,0,0,0,0
30,11389,1000,0,0,0,0,0,0,0,0,0
31,10389,1000,0,0,0,0,0,0,0,0,0
32,11075,1000,0,0,0,0,0,0,0,0,0
33,10076,1000,0,0,0,0,0,0,0,0,0
34,10699,1000,0,0,0,0,0,0,0,0,0
35,11374,1000,0,0,0,0,0,0,0,0,0
36,10375,1000,0,0,0,0,0,0,0,0,0
37,10434,1000,0,0,0,0,0,0,0,0,0
38,10890,1000,0,0,0,0,0,0,0,0,0
39,11542,1000,0,0,0,0,0,0,0,0,0
40,10543,1000,0,0,0,0,0,0,0,0,0
41,11169,1000,0,0,0,0,0,0,0,0,0
42,10169,1000,0,0,0,0,0,0,0,0,0
43,10797,1000,0,0,0,0,0,0,0,0,0
44,11384,1000,0,0,0,0,0,0,0,0,0
45,10385,1000,0,0,0,0,0,0,0,0,0
46,11041,1000,0,0,0,0,0,0,0,0,0
47,10041,1000,0,0,0,0,0,0,0,0,0
48,10733,1000,0,0,0,0,0,0,0,0,0
49,11395,1000,0,0,0,0,0,0,0,0,0
50,10395,1000,0,0,0,0,0,0,0,0,0
51,11103,1000,0,0,0,0,0,0,0,0,0
52,10104,1000,0,0,0,0,0,0,0,0,0
53,10752,1000,0,0,0,0,0,0,0,0,0
54,11440,1000,0,0,0,0,0,0,0,0,0
55,10440,1000,0,0,0,0,0,0,0,0,0
56,11095,1000,0,0,0,0,0,0,0,0,0
57,10095,1000,0,0,0,0,0,0,0,0,0
58,10181,1000,0,0,0,0,0,0,0,0,0
59,10133,1000,0,0,0,0,0,0,0,0,0
60,10198,1000,0,0,0,0,0,0,0,0,0
61,10873,1000,0,0,0,0,0,0,0,0,0
62,11502,1000,0,0,0,0,0,0,0,0,0
63,10502,1000,0,0,0,0,0,0,0,0,0
64,11130,1000,0,0,0,0,0,0,0,0,0
65,10130,1000,0,0,0,0,0,0,0,0,0
66,10702,1000,0,0,0,0,0,0,0,0,0
67,11288,1000,0,0,0,0,0,0,0,0,0
68,10288,1000,0,0,0,0,0,0,0,0,0
69,10023,1000,0,0,0,0,0,0,0,0,0
70,10619,1000,0,0,0,0,0,0,0,0,0
71,11234,1000,0,0,0,0,0,0,0,0,0
72,10234,1000,0,0,0,0,0,0,0,0,0
73,10815,1000,0,0,0,0,0,0,0,0,0
74,11401,1000,0,0,0,0,0,0,0,0,0
75,10401,1000,0,0,0,0,0,0,0,0,0
76,11012,1000,0,0,0,0,0,0,0,0,0
77,10014,1000,0,0,0,0,0,0,0,0,0
78,10580,1000,0,0,0,0,0,0,0,0,0
79,11172,1000,0,0,0,0,0,0,0,0,0
80,10172,1000,0,0,0,0,0,0,0,0,0
81,11272,1000,0,0,0,0,0,0,0,0,0
82,10272,1000,0,0,0,0,0,0,0,0,0
83,10910,1000,0,0,0,0,0,0,0,0,0
84,10376,1000,0,0,0,0,0,0,0,0,0
85,10972,1000,0,0,0,0,0,0,0,0,0
86,11561,1000,0,0,0,0,0,0,0,0,0
87,10561,1000,0,0,0,0,0,0,0,0,0
88,11116,1000,0,0,0,0,0,0,0,0,0
89,10117,1000,0,0,0,0,0,0,0,0,0
90,10692,1000,0,0,0,0,0,0,0,0,0
91,11280,1000,0,0,0,0,0,0,0,0,0
92,10280,1000,0,0,0,0,0,0,0,0,0
93,10789,1000,0,0,0,0,0,0,0,0,0
94,11362,1000,0,0,0,0,0,0,0,0,0
95,10362,1000,0,0,0,0,0,0,0,0,0
96,10911,1000,0,0,0,0,0,0,0,0,0
97,11465,1000,0,0,0,0,0,0,0,0,0
98,10466,1000,0,0,0,0,0,0,0,0,0
99,10900,1000,0,0,0,0,0,0,0,0,0
100,10683,1000,0,0,0,0,0,0,0,0,0
101,11268,1000,0,0,0,0,0,0,0,0,0
102,10268,1000,0,0,0,0,0,0,0,0,0
103,10868,1000,0,0,0,0,0,0,0,0,0
104,11473,1000,0,0,0,0,0,0,0,0,0
105,10473,1000,0,0,0,0,0,0,0,0,0
106,10116,1000,0,0,0,0,0,0,0,0,0
107,10702,1000,0,0,0,0,0,0,0,0,0
