Block Height,TxPool Size,# of all Txs,Diff,Balance,DeltaBalance,Tax,Subsidy,f_itx_min,f_ctx_min,P_itx_min,P_ctx_min
1,10721,1000,108848233673640,0,0,0,0,106646069637360,215494303311000,0,0
2,11969,1000,92695151367000,0,0,0,0,92400915306000,185096066673000,0,0
3,10975,1000,79356782421000,0,0,0,0,79055213139000,158411995560000,0,0
4,10035,1000,65559358767000,0,0,0,0,65690641233000,131250000000000,0,0
5,10949,1000,61418176365000,0,0,0,0,64073458365000,125491634730000,0,0
6,12147,1000,53616631467000,0,0,0,0,68630259306000,122246890773000,0,0
7,11191,1000,42170204832000,0,0,0,0,75076317246000,117246522078000,0,0
8,10208,1000,-2412886749000,0,0,0,0,116358926292000,113946039543000,0,0
9,11185,1000,47422931136000,0,0,0,0,65631905493000,113054836629000,0,0
10,10206,1000,20360309256000,0,0,0,0,84000000000000,104360309256000,0,0
11,11398,1000,45325968387000,0,0,0,0,69648791058000,114974759445000,0,0
12,10449,1000,23585590413000,0,0,0,0,74892679974000,98478270387000,0,0
13,11712,1000,46575988956000,0,0,0,0,62579352129000,109155341085000,0,0
14,10746,1000,28140751107000,0,0,0,0,66949890126000,95090641233000,0,0
15,11955,1000,48288365517000,0,0,0,0,61234561731000,109522927248000,0,0
16,10990,1000,17400858678000,0,0,0,0,75325935468000,92726794146000,0,0
17,10013,1000,14102013723000,0,0,0,0,75987986277000,90090000000000,0,0
18,10394,1000,18188128602000,0,0,0,0,72958114425000,91146243027000,0,0
19,11540,1000,42403893147000,0,0,0,0,70288350825000,112692243972000,0,0
20,10606,1000,16699305462000,0,0,0,0,72709155036000,89408460498000,0,0
21,11827,1000,47908749651000,0,0,0,0,69108398898000,117017148549000,0,0
22,10878,1000,17376339939000,0,0,0,0,71359317792000,88735657731000,0,0
23,12080,1000,41790000000000,0,0,0,0,70618935303000,112408935303000,0,0
24,11110,1000,3863431257000,0,0,0,0,84000000000000,87863431257000,0,0
25,10187,1000,10037793906000,0,0,0,0,75508479522000,85546273428000,0,0
26,10744,1000,22225275450000,0,0,0,0,69463104648000,91688380098000,0,0
27,12006,1000,47937496026000,0,0,0,0,69725928300000,117663424326000,0,0
28,11057,1000,6869031981000,0,0,0,0,78172043922000,85041075903000,0,0
29,10102,1000,6051176859000,0,0,0,0,77948823141000,84000000000000,0,0
30,11127,1000,33577088034000,0,0,0,0,71422911966000,105000000000000,0,0
31,10128,1000,83777714349000,0,0,0,0,nil,83777714349000,0,0
32,10016,1000,9418221246000,0,0,0,0,73909749963000,83327971209000,0,0
33,10017,1000,-14805000000,0,0,0,0,108222182292000,108207377292000,0,0
34,11498,1000,65208688356000,0,0,0,0,73391311644000,138600000000000,0,0
35,10528,1000,1466205762000,0,0,0,0,103533794238000,105000000000000,0,0
36,11717,1000,60656309637000,0,0,0,0,82680176418000,143336486055000,0,0
37,10741,1000,27209681919000,0,0,0,0,75785804136000,102995486055000,0,0
38,11376,1000,25387816902000,0,0,0,0,76101644136000,101489461038000,0,0
39,10400,1000,-18844677537000,0,0,0,0,102844677537000,84000000000000,0,0
40,11322,1000,41944333200000,0,0,0,0,73600982091000,115545315291000,0,0
41,10381,1000,-2207182383000,0,0,0,0,85379062314000,83171879931000,0,0
42,11385,1000,37621760190000,0,0,0,0,77754931716000,115376691906000,0,0
43,10431,1000,-1037002197000,0,0,0,0,84000000000000,82962997803000,0,0
44,11312,1000,32737987695000,0,0,0,0,69061372527000,101799360222000,0,0
45,10359,1000,-6986871906000,0,0,0,0,89273425584000,82286553678000,0,0
46,11320,1000,37767356466000,0,0,0,0,72820896855000,110588253321000,0,0
47,10388,1000,4495025115000,0,0,0,0,77604704457000,82099729572000,0,0
