Block Height,TxPool Size,# of all Txs,Diff,Balance,DeltaBalance,Tax,Subsidy,f_itx_min,f_ctx_min,P_itx_min,P_ctx_min
1,531,534,0,0,0,0,0,0,0,0,0
2,672,672,0,0,0,0,0,0,0,0,0
3,433,433,0,0,0,0,0,0,0,0,0
4,678,678,0,0,0,0,0,0,0,0,0
5,908,908,0,0,0,0,0,0,0,0,0
6,1034,1000,0,0,0,0,0,0,0,0,0
7,597,597,0,0,0,0,0,0,0,0,0
8,554,554,0,0,0,0,0,0,0,0,0
9,645,645,0,0,0,0,0,0,0,0,0
10,937,937,0,0,0,0,0,0,0,0,0
11,730,730,0,0,0,0,0,0,0,0,0
12,1536,1000,0,0,0,0,0,0,0,0,0
13,539,539,0,0,0,0,0,0,0,0,0
14,1659,1000,0,0,0,0,0,0,0,0,0
15,660,660,0,0,0,0,0,0,0,0,0
16,1716,1000,0,0,0,0,0,0,0,0,0
17,718,718,0,0,0,0,0,0,0,0,0
18,1638,1000,0,0,0,0,0,0,0,0,0
19,638,638,0,0,0,0,0,0,0,0,0
20,1702,1000,0,0,0,0,0,0,0,0,0
21,702,702,0,0,0,0,0,0,0,0,0
22,1723,1000,0,0,0,0,0,0,0,0,0
23,723,723,0,0,0,0,0,0,0,0,0
24,1641,1000,0,0,0,0,0,0,0,0,0
25,641,641,0,0,0,0,0,0,0,0,0
26,1721,1000,0,0,0,0,0,0,0,0,0
27,722,722,0,0,0,0,0,0,0,0,0
28,1711,1000,0,0,0,0,0,0,0,0,0
29,711,711,0,0,0,0,0,0,0,0,0
30,1675,1000,0,0,0,0,0,0,0,0,0
31,675,675,0,0,0,0,0,0,0,0,0
32,1653,1000,0,0,0,0,0,0,0,0,0
33,654,654,0,0,0,0,0,0,0,0,0
34,1605,1000,0,0,0,0,0,0,0,0,0
35,606,606,0,0,0,0,0,0,0,0,0
36,1496,1000,0,0,0,0,0,0,0,0,0
37,497,497,0,0,0,0,0,0,0,0,0
38,1611,1000,0,0,0,0,0,0,0,0,0
39,613,613,0,0,0,0,0,0,0,0,0
40,1672,1000,0,0,0,0,0,0,0,0,0
41,673,673,0,0,0,0,0,0,0,0,0
42,1144,1000,0,0,0,0,0,0,0,0,0
43,145,145,0,0,0,0,0,0,0,0,0
44,1425,1000,0,0,0,0,0,0,0,0,0
45,425,425,0,0,0,0,0,0,0,0,0
46,1670,1000,0,0,0,0,0,0,0,0,0
47,670,670,0,0,0,0,0,0,0,0,0
48,1638,1000,0,0,0,0,0,0,0,0,0
49,639,639,0,0,0,0,0,0,0,0,0
50,1674,1000,0,0,0,0,0,0,0,0,0
51,675,675,0,0,0,0,0,0,0,0,0
52,1630,1000,0,0,0,0,0,0,0,0,0
53,630,630,0,0,0,0,0,0,0,0,0
54,1705,1000,0,0,0,0,0,0,0,0,0
55,706,706,0,0,0,0,0,0,0,0,0
56,1634,1000,0,0,0,0,0,0,0,0,0
57,635,635,0,0,0,0,0,0,0,0,0
58,1686,1000,0,0,0,0,0,0,0,0,0
59,687,687,0,0,0,0,0,0,0,0,0
60,1651,1000,0,0,0,0,0,0,0,0,0
61,651,651,0,0,0,0,0,0,0,0,0
62,1712,1000,0,0,0,0,0,0,0,0,0
63,713,713,0,0,0,0,0,0,0,0,0
64,1663,1000,0,0,0,0,0,0,0,0,0
65,664,664,0,0,0,0,0,0,0,0,0
66,1711,1000,0,0,0,0,0,0,0,0,0
67,711,711,0,0,0,0,0,0,0,0,0
68,1736,1000,0,0,0,0,0,0,0,0,0
69,737,737,0,0,0,0,0,0,0,0,0
70,1735,1000,0,0,0,0,0,0,0,0,0
71,736,736,0,0,0,0,0,0,0,0,0
72,1650,1000,0,0,0,0,0,0,0,0,0
73,650,650,0,0,0,0,0,0,0,0,0
74,1705,1000,0,0,0,0,0,0,0,0,0
75,705,705,0,0,0,0,0,0,0,0,0
76,1719,1000,0,0,0,0,0,0,0,0,0
77,719,719,0,0,0,0,0,0,0,0,0
78,1695,1000,0,0,0,0,0,0,0,0,0
79,695,695,0,0,0,0,0,0,0,0,0
80,1649,1000,0,0,0,0,0,0,0,0,0
81,649,649,0,0,0,0,0,0,0,0,0
82,1598,1000,0,0,0,0,0,0,0,0,0
83,598,598,0,0,0,0,0,0,0,0,0
84,1631,1000,0,0,0,0,0,0,0,0,0
85,632,632,0,0,0,0,0,0,0,0,0
86,1567,1000,0,0,0,0,0,0,0,0,0
87,568,568,0,0,0,0,0,0,0,0,0
88,1702,1000,0,0,0,0,0,0,0,0,0
89,702,702,0,0,0,0,0,0,0,0,0
90,1711,1000,0,0,0,0,0,0,0,0,0
91,711,711,0,0,0,0,0,0,0,0,0
92,1704,1000,0,0,0,0,0,0,0,0,0
93,704,704,0,0,0,0,0,0,0,0,0
94,1644,1000,0,0,0,0,0,0,0,0,0
95,644,644,0,0,0,0,0,0,0,0,0
96,1634,1000,0,0,0,0,0,0,0,0,0
97,634,634,0,0,0,0,0,0,0,0,0
98,1717,1000,0,0,0,0,0,0,0,0,0
99,719,719,0,0,0,0,0,0,0,0,0
100,1740,1000,0,0,0,0,0,0,0,0,0
101,740,740,0,0,0,0,0,0,0,0,0
102,1713,1000,0,0,0,0,0,0,0,0,0
103,713,713,0,0,0,0,0,0,0,0,0
104,1673,1000,0,0,0,0,0,0,0,0,0
105,673,673,0,0,0,0,0,0,0,0,0
106,1712,1000,0,0,0,0,0,0,0,0,0
107,712,712,0,0,0,0,0,0,0,0,0
108,1695,1000,0,0,0,0,0,0,0,0,0
109,696,696,0,0,0,0,0,0,0,0,0
110,1729,1000,0,0,0,0,0,0,0,0,0
111,729,729,0,0,0,0,0,0,0,0,0
112,1648,1000,0,0,0,0,0,0,0,0,0
113,649,649,0,0,0,0,0,0,0,0,0
114,1708,1000,0,0,0,0,0,0,0,0,0
115,708,708,0,0,0,0,0,0,0,0,0
116,1696,1000,0,0,0,0,0,0,0,0,0
117,696,696,0,0,0,0,0,0,0,0,0
118,1657,1000,0,0,0,0,0,0,0,0,0
119,657,657,0,0,0,0,0,0,0,0,0
120,1732,1000,0,0,0,0,0,0,0,0,0
121,733,733,0,0,0,0,0,0,0,0,0
122,1732,1000,0,0,0,0,0,0,0,0,0
123,733,733,0,0,0,0,0,0,0,0,0
124,1703,1000,0,0,0,0,0,0,0,0,0
125,704,704,0,0,0,0,0,0,0,0,0
126,1697,1000,0,0,0,0,0,0,0,0,0
127,697,697,0,0,0,0,0,0,0,0,0
128,1745,1000,0,0,0,0,0,0,0,0,0
129,746,746,0,0,0,0,0,0,0,0,0
130,1738,1000,0,0,0,0,0,0,0,0,0
131,739,739,0,0,0,0,0,0,0,0,0
132,1737,1000,0,0,0,0,0,0,0,0,0
133,737,737,0,0,0,0,0,0,0,0,0
134,1603,1000,0,0,0,0,0,0,0,0,0
135,604,604,0,0,0,0,0,0,0,0,0
136,1719,1000,0,0,0,0,0,0,0,0,0
137,719,719,0,0,0,0,0,0,0,0,0
138,1741,1000,0,0,0,0,0,0,0,0,0
139,741,741,0,0,0,0,0,0,0,0,0
140,1729,1000,0,0,0,0,0,0,0,0,0
141,729,729,0,0,0,0,0,0,0,0,0
142,1673,1000,0,0,0,0,0,0,0,0,0
143,674,674,0,0,0,0,0,0,0,0,0
144,1655,1000,0,0,0,0,0,0,0,0,0
145,655,655,0,0,0,0,0,0,0,0,0
146,1733,1000,0,0,0,0,0,0,0,0,0
147,733,733,0,0,0,0,0,0,0,0,0
148,1729,1000,0,0,0,0,0,0,0,0,0
149,729,729,0,0,0,0,0,0,0,0,0
150,1737,1000,0,0,0,0,0,0,0,0,0
151,738,738,0,0,0,0,0,0,0,0,0
152,1743,1000,0,0,0,0,0,0,0,0,0
153,743,743,0,0,0,0,0,0,0,0,0
154,1732,1000,0,0,0,0,0,0,0,0,0
155,732,732,0,0,0,0,0,0,0,0,0
156,1738,1000,0,0,0,0,0,0,0,0,0
157,739,739,0,0,0,0,0,0,0,0,0
158,1704,1000,0,0,0,0,0,0,0,0,0
159,704,704,0,0,0,0,0,0,0,0,0
160,1698,1000,0,0,0,0,0,0,0,0,0
