Block Height,TxPool Size,# of all Txs,Diff,Balance,DeltaBalance,Tax,Subsidy,f_itx_min,f_ctx_min,P_itx_min,P_ctx_min
1,1506,1000,0,0,0,0,0,0,0,0,0
2,1019,1000,0,0,0,0,0,0,0,0,0
3,1801,1000,0,0,0,0,0,0,0,0,0
4,1285,1000,0,0,0,0,0,0,0,0,0
5,1608,1000,0,0,0,0,0,0,0,0,0
6,1344,1000,0,0,0,0,0,0,0,0,0
7,1444,1000,0,0,0,0,0,0,0,0,0
8,1551,1000,0,0,0,0,0,0,0,0,0
9,2131,1000,0,0,0,0,0,0,0,0,0
10,1132,1000,0,0,0,0,0,0,0,0,0
11,1807,1000,0,0,0,0,0,0,0,0,0
12,2004,1000,0,0,0,0,0,0,0,0,0
13,1005,1000,0,0,0,0,0,0,0,0,0
14,1516,1000,0,0,0,0,0,0,0,0,0
15,1879,1000,0,0,0,0,0,0,0,0,0
16,2434,1000,0,0,0,0,0,0,0,0,0
17,1435,1000,0,0,0,0,0,0,0,0,0
18,1431,1000,0,0,0,0,0,0,0,0,0
19,1871,1000,0,0,0,0,0,0,0,0,0
20,2142,1000,0,0,0,0,0,0,0,0,0
21,1143,1000,0,0,0,0,0,0,0,0,0
22,1797,1000,0,0,0,0,0,0,0,0,0
23,2426,1000,0,0,0,0,0,0,0,0,0
24,1428,1000,0,0,0,0,0,0,0,0,0
25,2090,1000,0,0,0,0,0,0,0,0,0
26,1090,1000,0,0,0,0,0,0,0,0,0
27,1557,1000,0,0,0,0,0,0,0,0,0
28,1558,1000,0,0,0,0,0,0,0,0,0
29,2214,1000,0,0,0,0,0,0,0,0,0
30,1214,1000,0,0,0,0,0,0,0,0,0
31,1093,1000,0,0,0,0,0,0,0,0,0
32,1725,1000,0,0,0,0,0,0,0,0,0
33,2329,1000,0,0,0,0,0,0,0,0,0
34,1330,1000,0,0,0,0,0,0,0,0,0
35,2044,1000,0,0,0,0,0,0,0,0,0
36,1045,1000,0,0,0,0,0,0,0,0,0
37,1389,1000,0,0,0,0,0,0,0,0,0
38,1757,1000,0,0,0,0,0,0,0,0,0
39,2326,1000,0,0,0,0,0,0,0,0,0
40,1328,1000,0,0,0,0,0,0,0,0,0
41,1780,1000,0,0,0,0,0,0,0,0,0
42,2394,1000,0,0,0,0,0,0,0,0,0
43,1394,1000,0,0,0,0,0,0,0,0,0
44,2003,1000,0,0,0,0,0,0,0,0,0
45,1003,1000,0,0,0,0,0,0,0,0,0
46,1656,1000,0,0,0,0,0,0,0,0,0
47,2394,1000,0,0,0,0,0,0,0,0,0
48,1395,1000,0,0,0,0,0,0,0,0,0
49,2099,1000,0,0,0,0,0,0,0,0,0
50,1099,1000,0,0,0,0,0,0,0,0,0
51,1819,1000,0,0,0,0,0,0,0,0,0
52,2081,1000,0,0,0,0,0,0,0,0,0
53,1082,1000,0,0,0,0,0,0,0,0,0
54,1704,1000,0,0,0,0,0,0,0,0,0
55,2401,1000,0,0,0,0,0,0,0,0,0
56,1401,1000,0,0,0,0,0,0,0,0,0
57,1857,1000,0,0,0,0,0,0,0,0,0
58,2521,1000,0,0,0,0,0,0,0,0,0
59,1521,1000,0,0,0,0,0,0,0,0,0
60,2081,1000,0,0,0,0,0,0,0,0,0
61,1082,1000,0,0,0,0,0,0,0,0,0
62,1466,1000,0,0,0,0,0,0,0,0,0
63,1907,1000,0,0,0,0,0,0,0,0,0
64,1710,1000,0,0,0,0,0,0,0,0,0
65,2304,1000,0,0,0,0,0,0,0,0,0
66,1305,1000,0,0,0,0,0,0,0,0,0
67,2003,1000,0,0,0,0,0,0,0,0,0
68,1005,1000,0,0,0,0,0,0,0,0,0
69,1515,1000,0,0,0,0,0,0,0,0,0
70,1827,1000,0,0,0,0,0,0,0,0,0
71,2465,1000,0,0,0,0,0,0,0,0,0
72,1467,1000,0,0,0,0,0,0,0,0,0
73,2030,1000,0,0,0,0,0,0,0,0,0
74,1031,1000,0,0,0,0,0,0,0,0,0
75,1671,1000,0,0,0,0,0,0,0,0,0
76,2343,1000,0,0,0,0,0,0,0,0,0
77,1344,1000,0,0,0,0,0,0,0,0,0
78,2043,1000,0,0,0,0,0,0,0,0,0
79,1044,1000,0,0,0,0,0,0,0,0,0
80,1508,1000,0,0,0,0,0,0,0,0,0
81,2187,1000,0,0,0,0,0,0,0,0,0
82,1187,1000,0,0,0,0,0,0,0,0,0
83,1859,1000,0,0,0,0,0,0,0,0,0
84,2546,1000,0,0,0,0,0,0,0,0,0
85,1547,1000,0,0,0,0,0,0,0,0,0
86,2252,1000,0,0,0,0,0,0,0,0,0
87,1252,1000,0,0,0,0,0,0,0,0,0
88,1868,1000,0,0,0,0,0,0,0,0,0
89,2531,1000,0,0,0,0,0,0,0,0,0
90,1532,1000,0,0,0,0,0,0,0,0,0
91,2239,1000,0,0,0,0,0,0,0,0,0
92,1239,1000,0,0,0,0,0,0,0,0,0
93,1543,1000,0,0,0,0,0,0,0,0,0
94,2200,1000,0,0,0,0,0,0,0,0,0
95,1202,1000,0,0,0,0,0,0,0,0,0
96,1710,1000,0,0,0,0,0,0,0,0,0
97,2050,1000,0,0,0,0,0,0,0,0,0
98,1050,1000,0,0,0,0,0,0,0,0,0
99,1716,1000,0,0,0,0,0,0,0,0,0
100,2375,1000,0,0,0,0,0,0,0,0,0
101,1376,1000,0,0,0,0,0,0,0,0,0
102,1764,1000,0,0,0,0,0,0,0,0,0
103,2487,1000,0,0,0,0,0,0,0,0,0
104,1487,1000,0,0,0,0,0,0,0,0,0
105,2205,1000,0,0,0,0,0,0,0,0,0
106,1205,1000,0,0,0,0,0,0,0,0,0
107,1401,1000,0,0,0,0,0,0,0,0,0
108,2002,1000,0,0,0,0,0,0,0,0,0
109,1003,1000,0,0,0,0,0,0,0,0,0
110,1709,1000,0,0,0,0,0,0,0,0,0
111,2436,1000,0,0,0,0,0,0,0,0,0
112,1436,1000,0,0,0,0,0,0,0,0,0
113,1689,1000,0,0,0,0,0,0,0,0,0
114,2393,1000,0,0,0,0,0,0,0,0,0
115,1394,1000,0,0,0,0,0,0,0,0,0
116,2098,1000,0,0,0,0,0,0,0,0,0
117,1099,1000,0,0,0,0,0,0,0,0,0
118,1581,1000,0,0,0,0,0,0,0,0,0
119,2206,1000,0,0,0,0,0,0,0,0,0
